Sample ID ,Site,Date,Year,Tissue,d34S ,d13C,d15N,Caged,WDN,R_FP,week ,Day,subsite,,,,
YB140007 M,Yolo Bypass,NA,1999,M,-1.38,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140008 M,Yolo Bypass,NA,1999,M,-2.46,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140009 M,Yolo Bypass,NA,1999,M,-1.71,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140010 M,Yolo Bypass,NA,1999,M,-1.04,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140011 F COMBINE,Yolo Bypass,NA,1999,F,-0.95,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140011 M,Yolo Bypass,NA,1999,M,-1.31,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140012 M,Yolo Bypass,NA,1999,M,-1.78,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140016 M,Yolo Bypass,NA,1999,M,-2.22,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140017 M,Yolo Bypass,NA,1999,M,-3.85,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140017 S COMBINED,Yolo Bypass,NA,1999,S,-0.7,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140018 M,Yolo Bypass,NA,1999,M,-1.62,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140019 M,Yolo Bypass,NA,1999,M,-1.89,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140021 M,Yolo Bypass,NA,1999,M,-2.3,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140022 M,Yolo Bypass,NA,1999,M,-2.3,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
YB140023 M,Yolo Bypass,NA,1999,M,-2.14,NA,NA,uncaged,wet,Floodplain,4,NA,Floodplain,,,,
